SAWEAi, SAWEAt, RFEAi, RFEAt, FLIPGAi, FLIPGAt, ASAPi, ASAPt, MASAPi, MASAPt, PSO-LSi, PSO-LSt, PSOSATi, PSOSATt, WPSOSATi, WPSOSATt
2285.75,0.046402718499962,2260.25,12.2363009107501,2539.75,113.52839031575,2537.25,12.9588420939999,2538,9.64811365449987,2276.25,0.128692655250006,2543.5,103.14335081125,2543,118.89560069625
78.66,0.001398172979998,78.71,0.029268404920003,79,0.08210154333,79,0.009889437080001,78.98,0.006533319600003,78.61,0.00438380095,79,0.072599345250001,79,0.093461290920004
97.44,0.001704904870003,97.61,0.039847444340003,99,0.11349615399,98.99,0.013471588570001,98.87,0.008472028619999,95.95,0.005204214260002,99,0.089952914859996,99,0.117453481859993
158.12,0.001881931759999,157.19,0.111709995499996,159,0.387692102880001,159,0.046598405339992,158.95,0.022636317329998,155.65,0.007941321800008,159,0.280868989379996,159,0.362528173999999
194.91,0.002210676489995,192.19,0.175087117619996,198.99,0.565774719330002,199,0.068595053589997,198.93,0.031822696099998,191.77,0.009965453710001,199,0.351609708210008,199,0.453959311480003
389.54,0.003739828709995,377.34,0.753175074600003,398.99,2.74584739659,398.99,0.325431089940002,398.87,0.112645931009993,376.61,0.018253669549995,399,1.44582206524,399,1.81790906586
77.925,0.001005933420001,77.73,0.031721157719999,78.995,0.09001409466,79,0.012030030359997,78.72,0.007419608294999,78.15,0.005000369694999,79,0.072679954579999,79,0.093362034854999
98.145,0.001373363735001,97.27,0.042109645885003,98.995,0.117836794760001,99,0.014780382694999,98.855,0.007549101365003,97.175,0.004713629384996,99,0.088655725855001,99,0.114595537939999
164.64,0.001628482834999,166.48,0.06785002914,168.666666666667,0.281683155666694,168.153846153846,0.035015819923081,167,0.020019951349968,162.15,0.007100235399998,168.857142857143,0.244415015571446,170,0.812429190999865
280.527272727273,0.002700291872721,283.015,0.13540782819,300,0.620469084999968,288,0.063834089500006,292,0.095006287499928,283.886956521739,0.011585871339135,300,1.37339500900089,300,1.61640956300016
157.015,0.001513199004999,155.235,0.137820790915002,158.97,0.420065775449998,158.96,0.053041417995,158.53,0.023090428635001,155.755,0.007730319445,158.99,0.279229013980002,158.99,0.386701650470004
194.135,0.002046015139999,195.13,0.164270305764999,198.99,0.605908678404999,198.98,0.077242656405001,198.72,0.031337904780003,192.86,0.00920789756,199,0.348127886564998,198.99,0.440859927664997
319.89,0.002773261690004,327.055,0.308189242339999,336,1.18436466691666,335.220930232558,0.156665526976752,335.5,0.109608288250001,322.59,0.01356449504,336.67,0.595158567195003,336.294117647059,1.01994189594113
545.395,0.004621944865003,560.285,0.563596854195002,589,2.63877716349998,600,0.538635062999674,600,0.634611617999326,574.72,0.022031589464996,600,5.93573935300083,600,7.06493215800037
383.855,0.003420345565,381.675,0.715855253584996,398.81,2.94676714071,397.95,0.371276208459994,398.025,0.130548118395,374.205,0.017845473855005,398.965,1.421926305855,398.98,1.79930877738
1085.985,0.008974368019999,1111.22,2.223482684655,1178.5,11.8840112070002,1163.61538461538,1.34956711292314,1164.84615384615,1.38471890284605,1107.725,0.042777486784999,1200,31.163457495999,1200,37.8613153440001
Prosek:,,,,,,,,,,,,,,,
407,0.01,407.4,1.11,436.35,8.64,435.07,1.01,435.3,0.77,407.75,0.02,438.69,9.18,438.7,10.81
Prosek:,,,,,,,,,,,,,,,
74511.1222408893,,367.52920201728,,50.5136750105841,,432.503665819333,,567.436860718617,,20645.8489435946,,47.7784088468751,,40.5852728769802,
,,,,,,,,,,,,,,,
Odstupanja:,,,,,,,,,,,,,,,
264.25,,289.75,,10.25,,12.75,,12,,273.75,,6.5,,7,
0.340000000000003,,0.290000000000006,,0,,0,,0.019999999999996,,0.390000000000001,,0,,0,
1.56,,1.39,,0,,0.010000000000005,,0.129999999999995,,3.05,,0,,0,
0.879999999999995,,1.81,,0,,0,,0.050000000000011,,3.34999999999999,,0,,0,
4.09,,,,,,,,,,,,,,,
9.45999999999998,,21.66,,0.009999999999991,,0.009999999999991,,0.129999999999995,,22.39,,0,,0,
2.075,,2.27,,1.005,,1,,1.28,,1.84999999999999,,1,,1,
1.855,,2.73,,1.005,,1,,1.145,,2.825,,1,,1,
5.36000000000001,,3.52000000000001,,1.33333333333334,,1.84615384615384,,3,,7.84999999999999,,1.14285714285714,,0,
19.4727272727273,,16.985,,0,,12,,8,,16.1130434782609,,0,,0,
2.98500000000001,,4.76499999999999,,1.03,,1.03999999999999,,1.47,,4.245,,1.00999999999999,,1.00999999999999,
5.86500000000001,,4.87,,1.00999999999999,,1.02000000000001,,1.28,,7.13999999999999,,1,,1.00999999999999,
20.11,,12.945,,4,,4.77906976744185,,4.5,,17.41,,3.32999999999998,,3.70588235294116,
54.605,,39.715,,11,,0,,0,,25.28,,0,,0,
16.145,,18.325,,1.19,,2.05000000000001,,1.97500000000002,,25.795,,1.03500000000003,,1.01999999999998,
114.015,,88.78,,21.5,,36.3846153846155,,35.1538461538462,,92.2750000000001,,0,,0,
Prosek:,,,,,,,,,,,,,,,
32.6917329545455,,33.987,,3.55555555555555,,4.92598926654741,,4.67558974358975,,33.5808695652174,,1.06785714285714,,1.04972549019607,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,#DIV/0!,
